55,58,62,62,60,59,44,40,34,28,25,21,20,20,23,23,23,24,27,36,37,41,48,51
53,59,63,68,70,65,59,52,44,38,31,29,28,24,23,24,22,31,26,31,38,45,44,44
47,50,49,55,59,58,71,71,71,83,89,92,92,92,93,89,97,100,98,95,100,98,96,100
97,96,96,95,96,96,94,87,75,68,74,76,81,82,80,66,66,87,90,93,90,92,92,91
92,87,86,84,85,84,82,75,68,63,58,50,49,45,41,47,54,49,54,63,70,73,78,83
87,88,90,93,96,98,99,99,100,94,91,78,82,91,91,77,87,76,77,77,75,81,84,89
94,94,97,97,97,98,96,81,73,71,94,91,78,71,73,59,61,72,84,78,88,90,89,92
90,90,92,94,94,95,92,88,91,88,89,95,93,77,68,85,80,78,85,95,96,92,94,94
94,94,94,94,95,94,89,84,71,60,55,51,46,48,43,43,49,64,72,70,68,68,68,69
78,87,96,100,98,97,92,77,67,53,47,40,38,36,39,38,45,59,73,66,74,81,94,100
100,94,96,98,97,96,100,93,91,92,90,80,98,95,85,82,77,76,76,78,83,87,90,92
94,93,94,96,100,96,79,68,62,53,49,46,39,39,36,38,51,48,51,54,92,95,94,95
100,100,93,90,91,90,88,86,76,61,56,55,53,56,64,57,49,47,49,52,54,57,62,65
67,72,76,82,85,87,82,78,70,57,43,39,38,39,36,34,33,30,31,36,45,53,58,61
65,71,69,72,74,75,70,66,60,55,53,52,49,46,46,48,49,64,74,78,83,85,86,92
91,92,91,89,88,90,84,74,69,61,47,44,44,46,40,41,42,45,42,49,53,59,65,70
76,80,83,87,86,83,76,69,62,54,44,44,39,38,36,37,37,37,40,45,48,54,59,61
78,77,79,82,81,85,81,74,71,66,62,61,59,58,61,59,58,65,63,72,74,76,80,82
85,85,86,89,90,87,81,79,76,72,71,72,71,72,67,66,61,58,59,62,65,70,76,82
85,84,81,80,83,77,73,66,64,65,63,59,56,57,53,55,50,51,51,56,61,60,67,70
74,77,80,83,84,83,76,71,63,57,48,37,34,33,33,38,37,38,87,91,94,96,95,91
91,94,94,96,96,96,93,88,86,82,73,63,64,59,59,58,88,95,96,96,100,98,99,100
99,100,99,100,93,91,91,86,81,80,74,76,75,78,85,86,88,88,86,87,90,83,94,97
